Compound ID,Formula,Molecular Weight,Smile,IC50,unit,note,src table
Z646052160,C16H16FN5,297.330,FC=1C=CC=C(NC2CCCN(C2)C=3N=CC=CN3)C1C#N,,,,5
Z646052218,C14H16N6O2,300.315,[O-][N+](=O)C=1C=CC(NC2CCCN(C2)C=3N=CC=CN3)=NC1,,,,5
Z646052230,C16H17N5S,311.404,C1CC(CN(C1)C=2N=CC=CN2)NC3=NC=4C=CC=CC4S3,,,,5
Z646052504,C17H18N6,306.365,C1CC(CN(C1)C=2N=CC=CN2)NC=3N=CN=C4C=CC=CC34,,,,5
Z646052644,C15H16N6,280.327,N#CC=1C=CC(NC2CCCN(C2)C=3N=CC=CN3)=NC1,,,,5
Z646052672,C15H18N8,310.357,CN1N=CC=2C(NC3CCCN(C3)C=4N=CC=CN4)=NC=NC12,,,,5
Z646052714,C13H16ClN7,305.766,NC=1N=C(Cl)C=C(NC2CCCN(C2)C=3N=CC=CN3)N1,,,,5
Z646052754,C16H17N5O,295.339,C1CC(CN(C1)C=2N=CC=CN2)NC3=NC=4C=CC=CC4O3,,,,5
Z646052756,C17H18N6,306.365,C1CC(CN(C1)C=2N=CC=CN2)NC=3C=NC=4C=CC=CC4N3,,,,5
Z646052898,C18H18N6O2,350.374,[O-][N+](=O)C=1C=CC(NC2CCCN(C2)C=3N=CC=CN3)=C4N=CC=CC14,,,,5
Z646052952,C15H20N6,284.359,CC=1C=C(NC2CCCN(C2)C=3N=CC=CN3)N=C(C)N1,,,,5
Z646052960,C14H15F3N6,324.304,FC(F)(F)C=1C=CN=C(NC2CCCN(C2)C=3N=CC=CN3)N1,,,,5
Z646052984,C16H19N7,309.368,CC=1N=NC(NC2CCCN(C2)C=3N=CC=CN3)=C(C#N)C1C,,,,5
Z646053118,C15H16F3N5,323.316,FC(F)(F)C=1C=CC=NC1NC2CCCN(C2)C=3N=CC=CN3,,,,5
Z646053140,C14H16N8,296.330,C1CC(CN(C1)C=2N=CC=CN2)NC=3N=CN=C4N=CNC34,,,,5
Z646053244,C16H19N5O2,313.354,CC=1C=C(NC2CCCN(C2)C=3N=CC=CN3)C=CC1[N+](=O)[O-],,,,5
Z646053252,C16H18N8,322.367,C1CC(CN(C1)C=2N=CC=CN2)NC=3C=NC=C(N3)N4C=CC=N4,,,,5
Z646053260,C18H18N6O2,350.374,[O-][N+](=O)C=1C(NC2CCCN(C2)C=3N=CC=CN3)=CC=C4N=CC=CC14,,,,5
Z646053290,C16H18F2N4O2S,368.401,FC(F)S(=O)(=O)C=1C=CC(NC2CCCN(C2)C=3N=CC=CN3)=CC1,,,,5
Z646053390,C13H15N9,297.318,C1CC(CN(C1)C=2N=CC=CN2)NC3=CN=CC4=NN=NN34,,,,5
Z728452474,C19H22N4O2,338.403,O=C(CCC(=O)C=1C=CC=CC1)NC2CCCN(C2)C=3N=CC=CN3,,,,5
Z729058482,C16H20N8,324.383,CC=1N=C(NC2CCCN(C2)C=3N=CC=CN3)C=4C=NN(C)C4N1,,,,5
Z741529310,C15H25N5O2S,339.456,CC1CCCN(C1)S(=O)(=O)NC2CCCN(C2)C=3N=CC=CN3,,,,5
Z741529926,C15H17ClN4O2S,352.839,ClC=1C=CC=CC1S(=O)(=O)NC2CCCN(C2)C=3N=CC=CN3,,,,5
Z741529940,C15H16F2N4O2S,354.374,FC=1C=CC=C(F)C1S(=O)(=O)NC2CCCN(C2)C=3N=CC=CN3,,,,5
Z741530066,C19H20N4O2S,368.452,O=S(=O)(NC1CCCN(C1)C=2N=CC=CN2)C=3C=CC=4C=CC=CC4C3,,,,5
Z741530114,C17H20N4O2S,344.431,O=S(=O)(NC1CCCN(C1)C=2N=CC=CN2)C=CC=3C=CC=CC3,,,,5
Z770597500,C19H19N5O2,349.386,O=C(NC1CCCN(C1)C=2N=CC=CN2)C3=CC=4C=CC=CC4C(=O)N3,,,,5
Z788420394,C17H21N5O2,327.380,O=C(NOCC=1C=CC=CC1)NC2CCCN(C2)C=3N=CC=CN3,,,,5
PV-002724113393,C17H14N4O3S,354.38,CC1=NC=C(O1)C(=O)C(C#N)C2=NC=3SC=4CCCCC4C3C(=O)N2,,,,6
Z1020296030,C19H17N3O5S2,431.48,CS(=O)(=O)CC1=CC=C(O1)C(=O)C(C#N)C2=NC=3SC=4CCCCC4C3C(=O)N2,,,,6
Z1020329312,C20H25N3O2,339.43,O=C(NC1CCC(CC1)C(=O)C(C#N)C=2C=CC=CN2)C3CCCC3,,,,6
Z1029362946,C23H19N5O2S,429.49,CC1=NN(C=C1C(=O)C(C#N)C2=NC=3SC=4CCCCC4C3C(=O)N2)C=5C=CC=CC5,,,,6
Z1029362978,C24H20N6O2S,456.519,O=C(C(C#N)C1=NC=2SC=3CCCCC3C2C(=O)N1)C=4N=C(C5CC5)N(N4)C=6C=CC=CC6,,,,6
Z1033007942,C20H18N4O4S,410.44,CC(=O)NCC1=CC=C(O1)C(=O)C(C#N)C2=NC=3SC=4CCCCC4C3C(=O)N2,,,,6
Z1039078770,C15H14ClN3O2S,335.80,CS(=O)(=O)CC=1C=CC(CNC=2N=CC(C#N)=CC2Cl)=CC1,,,,6
Z104524498,C22H22ClN7O2,451.90,CCN1CCN(CC1)C=2N=CC(Cl)=C(N2)C(=O)C(C#N)C3=NC=4C=CC(C)=CC4C(=O)N3,,,,6
Z104527752,C20H17ClN6O2,408.84,CC=1C=CC=2N=C(NC(=O)C2C1)C(C#N)C(=O)C=3N=C(N=CC3Cl)N4CCCC4,,,,6
Z1095217116,C16H13N3O2S2,343.423,CC1=CC=C(S1)C(=O)C(C#N)C2=NC(=O)C=3C(C)=C(C)SC3N2,,,,6
Z1117745103,C14H7ClN4O2S,330.74,ClC=1C=CC=2C(=O)NC(=NC2C1)C(C#N)C(=O)C3=CSC=N3,,,,6
Z1117750684,C16H13N3O3,295.29,COC(=O)NC=1C=CC=C(C1)C(=O)C(C#N)C=2C=CC=CN2,,,,6
Z1117750698,C21H21N3O2,347.41,COCCN1C(C)=C(C)C=2C=C(C=CC12)C(=O)C(C#N)C=3C=CC=CN3,,,,6
Z1123369338,C18H23N3O2,313.39,CC(C)(C)C(=O)N1CCCC(C1)C(=O)C(C#N)C=2C=CC=CN2,,,,6
Z1124164708,C15H9ClN4O2S,344.77,CC1=NC=C(S1)C(=O)C(C#N)C2=NC=3C=C(Cl)C=CC3C(=O)N2,,,,6
Z1124176511,C18H12FN3O,305.30,FC=1C=C(C=CC1N2C=CC=C2)C(=O)C(C#N)C=3C=CC=CN3,,,,6
Z1135597949,C15H14N2O3S,302.34,CC=1C=COC1C(=O)CC2=NC=3SC(C)=C(C)C3C(=O)N2,,,,6
Z1135597956,C16H16N2O3S,316.37,CCC1=C(C)SC=2N=C(CC(=O)C=3OC=CC3C)NC(=O)C12,,,,6
Z1138372309,C15H9ClN4O3,328.70,CC1=CC(=NO1)C(=O)C(C#N)C2=NC=3C=C(Cl)C=CC3C(=O)N2,,,,6
Z1138372377,C21H21N3O2,347.41,O=C(C(C#N)C=1C=CC=2C=CC=CC2N1)C3CCCN(C3)C(=O)C4CC4,,,,6
Z1138382889,C18H22N4O2,326.39,CC=1C=C(C)N=C(N1)C(C#N)C(=O)C2CCCN(C2)C(=O)C3CC3,,,,6
Z1146795992,C19H18N2O3,322.35,CCOC=1C=CC=2OCC(CC2C1)C(=O)C(C#N)C=3C=CC=CN3,,,,6
Z1157435787,C27H25N5O2S,483.58,CC=1C=CC(=CC1)N2N=C(C(=O)C(C#N)C3=NC=4SC=5CCCCC5C4C(=O)N3)C=6CCCCC62,,,,6
Z1172304089,C19H15N3O4,349.34,[O-][N+](=O)C=1C=CC(=CC1)C(C#N)C(=O)C=2C=CC(NC(=O)C3CC3)=CC2,,,,6
Z1181605544,C23H18N4O2S,414.47,O=C(C(C#N)C1=NC=2SC=3CCCCC3C2C(=O)N1)C4=CC=C(N4)C=5C=CC=CC5,,,,6
Z1187488239,C18H15N3O3S2,385.46,CSC1=CC=C(O1)C(=O)C(C#N)C2=NC=3SC=4CCCCC4C3C(=O)N2,,,,6
Z1197124969,C16H19N3O2,285.34,CCC(=O)N1CCCCC1C(=O)C(C#N)C=2C=CC=CN2,,,,6
Z1206700504,C21H17N3O2,343.37,CC=1C=CC(OCC=2C=CC=C(C2)C(=O)C(C#N)C=3C=CC=CN3)=CN1,,,,6
Z1206700517,C21H15FN2O2,346.35,FC=1C=CC=C(OCC=2C=CC=C(C2)C(=O)C(C#N)C=3C=CC=CN3)C1,,,,6
Z1258329568,C19H20N4O2,336.38,CCCNC(=O)C=1C=CC=C(C1)C(=O)C(C#N)C=2N=C(C)C=C(C)N2,,,,6
Z1291115822,C18H15N3O2,305.33,CC=1C=C(C)N=C(N1)C(C#N)C(=O)C=2C=CC(OCC#C)=CC2,,,,6
Z1291115937,C17H16N4O2,308.33,CNC(=O)C=1C=CC=C(C1)C(=O)C(C#N)C=2N=C(C)C=C(C)N2,,,,6
Z1291120665,C20H19N3O2,333.38,CC(=CC(=O)NCC=1C=CC(=CC1)C(=O)C(C#N)C=2C=CC=CN2)C,,,,6
Z1291120689,C20H15N3O2,329.35,O=C(C(C#N)C=1C=CC=CN1)C=2C=CC(OCC=3C=CC=CN3)=CC2,,,,6
Z1291120731,C16H14N2O2,266.29,COC=1C=CC(C(=O)C(C#N)C=2C=CC=CN2)=C(C)C1,,,,6
Z1291120732,C20H19N3O2,333.38,O=C(C(C#N)C=1C=CC=CN1)C2CCN(CC2)C(=O)C=3C=CC=CC3,,,,6
Z1291120797,C17H12N2O2,276.28,O=C(C(C#N)C=1C=CC=CN1)C=2C=CC(OCC#C)=CC2,,,,6
Z1291120884,C19H18N2O3,322.35,O=C(C(C#N)C=1C=CC=CN1)C=2C=CC(OC3CCOCC3)=CC2,,,,6
Z1323862605,C15H11FN2O,254.25,CC=1C=CC=CC1C(=O)C(C#N)C=2C=CC(F)=CN2,,,,6
Z1323864894,C16H13FN2O2,284.28,COC=1C=C(C=CC1C)C(=O)C(C#N)C=2C=CC(F)=CN2,,,,6
Z1323865199,C16H13FN2O2,284.28,COCC=1C=CC=CC1C(=O)C(C#N)C=2C=CC(F)=CN2,,,,6
Z1340518524,C20H16N4O2,344.36,CC=1C=C(C)N=C(N1)C(C#N)C(=O)C=2C=CC(=CC2)C(=O)C=3C=CNC3,,,,6
Z1341693886,C21H21N5O,359.424,CC(C)(C)C(NC(=O)C=1N=C(C=2C=CC=CC2)N(N1)C=3C=CC=CC3)C#N,,,,6
Z1353270318,C16H9ClN4O2,324.72,ClC=1C=CC=2C(=O)NC(=NC2C1)C(C#N)C(=O)C=3C=CC=CN3,,,,6
Z1357504287,C19H21N3O2,323.38,CC=1C=C(C)N=C(N1)C(C#N)C(=O)C=2C=CC(OC(C)(C)C)=CC2,,,,6
Z1375049418,C18H15N5O,317.34,CC=1C=C(C)N=C(N1)C(C#N)C(=O)C=2C=CC(=NC2)N3C=CC=C3,,,,6
Z1405100392,C14H16ClN5,289.76,ClC=1C=C(C#N)C=NC1NCC2CCN(CC#N)CC2,,,,6
Z1417092038,C22H18N6O2S,430.482,CC1=NN=C(N1)C=2C=CC(=CC2)C(=O)C(C#N)C3=NC=4SC=5CCCCC5C4C(=O)N3,,,,6
Z1432308714,C16H14ClN3O,299.75,CC=1C=C(Cl)C=C(C1)C(=O)C(C#N)C=2N=C(C)C=C(C)N2,,,,6
Z1441745133,C24H19N5O2S,441.504,CC=1N=C(N=CC1C(=O)C(C#N)C2=NC=3SC=4CCCCC4C3C(=O)N2)C=5C=CC=CC5,,,,6
Z1443717636,C18H16N4O3,336.34,CN(CC(=O)O)C(=O)C=1N=C(C=2C=CC=CC2)N(N1)C=3C=CC=CC3,,,,6
Z1501060877,C21H19N3O3S,393.45,CC1CC1C2=CC=C(O2)C(=O)C(C#N)C3=NC=4SC=5CCCCC5C4C(=O)N3,,,,6
Z1528778035,C17H13F3N2O,318.29,FC(F)(F)CCC=1C=CC=CC1C(=O)C(C#N)C=2C=CC=CN2,,,,6
